,,Period,Total Hourly Stress Degs,Total SDH,Percent of Monthly SDH,Avg. Stress Deg per SDH,,,Year,Total Hourly Stress Degrees (°C),Days Hours With Stress Degrees,Average Stress Degrees per SDH,,,,,,,,,,,,,,
Oct,2020,Oct2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Oct,2021,Oct2021,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Oct,2022,Oct2022,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Oct,2023,Oct2023,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Nov,2017,Nov2017,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Nov,2018,Nov2018,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Nov,2019,Nov2019,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Nov,2020,Nov2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Nov,2021,Nov2021,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Nov,2022,Nov2022,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Nov,2023,Nov2023,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Dec,2017,Dec2017,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Dec,2018,Dec2018,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Dec,2019,Dec2019,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Dec,2020,Dec2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Dec,2021,Dec2021,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Dec,2022,Dec2022,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Dec,2023,Dec2023,0,0,0,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
